ms_file,ms_file_label,peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename,peak_area,peak_area_top3,peak_n_datapoints,peak_max,peak_rt_of_max,peak_min,peak_median,peak_mean,peak_delta_int,peak_shape_rt,peak_shape_int,peak_mass_diff_25pc,peak_mass_diff_50pc,peak_mass_diff_75pc,peak_score,total_intensity,ms_file_size_MB
test/Sample_1,Sample_1,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,1.17E+06,133167,16,139496,492.2420044,23737,59586,73040.5625,21896,"492.24,492.76,493.28,493.8,494.32,494.84,495.36,495.87,496.39,496.91,497.43,497.95,498.47,499.51,501.58,520.26",3.35956E+84,5.949304583,6.444167864,6.85170233,0,5.18037E+11,10.76921272
test/Sample_2,Sample_2,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,1.92E+05,18759,10,30824,494.3070068,8480,19032,19227.9,19163,"492.23,492.75,493.27,493.79,494.31,494.83,495.35,496.38,497.94,519.21",8.4801E+48,6.560606283,6.793483121,7.113688773,0,2.30506E+11,12.7777195
test/Sample_3,Sample_3,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,2.90E+04,7975,3,12380,498.4580078,5070,11546,9665.333333,7310,"498.46,519.21,519.73",5.07012E+13,-7.004469536,-5.548989298,1.670192683,0,1.49493E+11,15.05696297
test/Sample_4,Std_1,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,5.27E+08,43520422,84,48047580,508.7319946,6906,529549,6277392.393,159104,"508.73,514.44,514.96,515.48,515.99,516.51,517.03,517.55,518.07,518.59,519.11,519.63,520.15,520.66,521.18,521.7,522.22,522.74,523.26,523.78,524.29,524.81,525.33,525.85,526.37,526.89,527.41,527.93,528.45,528.96,529.48,530.0,530.52,531.04,531.56,532.08,532.6,533.11,533.63,534.15,534.67,535.19,535.71,536.23,536.75,537.27,537.78,538.3,538.82,539.34,539.86,540.38,540.9,541.41,541.93,542.45,542.97,543.49,544.01,544.53,545.05,545.57,546.08,546.6,547.12,547.64,548.16,548.68,549.2,549.72,550.23,550.75,551.27,551.79,552.31,552.83,553.35,553.86,554.38,554.9,555.42,555.94,556.46,556.98","6906,10524,35518,98113,120203,169968,150638,129518,159820,179972,130053,148916,590408,3133747,9983347,16455340,17672830,22654330,24198888,33746416,35587468,45553784,48047580,36959904,36528024,25886314,24930144,20371918,16597185,14096720,12421359,10870576,8100874,6807617,6698686,5269632,4780055,4647837,3457344,3269708,3137032,2222681,2115595,1713921,1494035,1418382,1108837,1167613,929372,856476,723543,762796,587544,545966,509406,513132,478733,458298,391972,374893,362380,331256,320593,292294,294181,309544,300794,222060,184550,228365,221507,189334,193444,212234,159171,153055,185906,152125,143705,128782,130824,122709,127727,166010",1.072619435,1.190437914,1.190437914,0,4.2882E+11,9.653215408
test/Sample_5,Std_2,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,1.18E+08,9505452,81,10610204,556.4559937,9509,131722,1452075.617,23047,"515.47,515.99,516.51,517.03,517.55,518.07,518.59,519.1,519.62,520.14,520.66,521.18,521.7,522.22,522.74,523.26,523.77,524.29,524.81,525.33,525.85,526.37,526.89,527.41,527.92,528.44,528.96,529.48,530.0,530.52,531.04,531.55,532.07,532.59,533.11,533.63,534.15,534.67,535.19,535.71,536.22,536.74,537.26,537.78,538.3,538.82,539.34,539.86,540.38,540.89,541.41,541.93,542.45,542.97,543.49,544.01,544.53,545.04,545.56,546.08,546.6,547.12,547.64,548.16,548.67,549.19,549.71,550.23,550.75,551.27,551.79,552.31,552.83,553.34,553.86,554.38,554.9,555.42,555.94,556.46,556.97","9509,16679,37770,43749,27905,34823,34587,12127,30399,44029,284734,1038288,2427069,3484658,4695545,5662196,6488223,8258382,8619758,10610204,9286395,7901306,7650498,6880684,5208030,4454613,3659946,2837530,2205978,2074571,1792274,1358043,987494,948966,905603,749986,636750,572512,498429,462597,421270,337666,383908,273729,298537,250037,196658,193306,139980,131722,123056,125608,135294,93099,87995,98227,95114,93102,62727,81003,77446,80796,44585,64112,58542,62622,61251,58796,49569,66161,42123,40454,38957,49358,42553,40049,44380,36989,41988,29961,32556",1.308256393,1.426074873,1.543893352,0,2.08538E+11,10.40876198
test/Sample_6,Std_3,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,3.27E+07,2614575,80,2773577,536.2260132,5570,42774,408227.0125,7348,"516.51,517.03,517.55,518.07,518.59,519.11,519.63,520.15,520.66,521.18,521.7,522.22,522.74,523.26,523.78,524.29,524.81,525.33,525.85,526.37,526.89,527.41,527.93,528.45,528.96,529.48,530.0,530.52,531.04,531.56,532.08,532.59,533.11,533.63,534.15,534.67,535.19,535.71,536.23,536.74,537.26,537.78,538.3,538.82,539.34,539.86,540.38,540.9,541.41,541.93,542.45,542.97,543.49,544.01,544.53,545.05,545.56,546.08,546.6,547.12,547.64,548.16,548.68,549.2,549.71,550.23,550.75,551.27,551.79,552.31,552.83,553.35,553.86,554.38,554.9,555.42,555.94,556.46,556.98","6534,12666,9406,9695,10677,5570,9657,6656,33090,164830,504680,945113,1238720,1274060,1752382,1992175,2579581,2773577,2490567,2337789,2439195,1934085,1404393,1242919,1216524,863274,701088,592736,549123,421227,359911,282052,210328,279802,212009,133210,125951,100590,101782,103771,73250,98285,65867,66990,53708,58261,48391,41927,47407,41769,42537,43011,24408,31631,28558,34473,22628,28673,30165,21662,15577,26093,20469,21316,22661,12967,13454,11744,19263,10456,16918,22802,17134,15147,12485,9734,14391,19874,13882",1.190437914,1.308256393,1.543893352,0,1.44124E+11,10.79720497
test/Sample_7,Std_4,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,6.92E+06,542271,60,596529,541.414978,3300,27024.5,115311.5667,949,"520.15,521.18,521.7,522.22,522.74,523.26,523.78,524.29,524.81,525.33,525.85,526.37,526.89,527.41,527.93,528.45,528.96,529.48,530.0,530.52,531.04,531.56,532.08,532.6,533.11,533.63,534.15,534.67,535.19,535.71,536.23,536.75,537.27,537.78,538.3,538.82,539.34,539.86,540.38,540.9,541.41,541.93,542.45,542.97,543.49,544.01,544.53,545.05,545.57,546.08,546.6,547.12,547.64,548.16,549.72,550.23,552.31,553.35,553.86,556.98","5535,17897,67281,132615,197740,263563,340106,362199,456588,517525,562952,596529,467332,423141,402339,342396,260904,172151,168682,146879,83861,108989,86405,75797,75214,52050,50822,48431,52076,37755,30515,30719,21226,23534,16199,13555,20350,18855,21943,14957,4546,5993,14813,13539,6545,6052,6112,8912,3300,8096,4832,10037,4776,4979,5282,5996,4382,4676,3633,4586",1.190437914,1.367165633,1.543893352,0,1.18315E+11,10.86196327
test/Sample_8,Std_5,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,1.69E+06,129015,43,143329,552.3070068,3980,21464,39398.7907,10616,"521.7,522.22,522.74,523.26,523.77,524.29,524.81,525.33,525.85,526.37,526.89,527.41,527.92,528.44,528.96,529.48,530.0,530.52,531.04,531.56,532.08,532.59,533.11,533.63,534.15,534.67,535.19,535.71,536.74,537.26,537.78,538.82,539.34,540.38,540.89,541.41,541.93,542.45,544.01,549.19,550.23,552.31,554.38",1.4892E+204,1.190437914,1.426074873,1.661711831,0,1.12192E+11,10.88867378
test/Sample_9,Std_6,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,4.74E+05,38621,27,50536,531.5579834,3182,14159,17566.7037,577,"521.7,522.22,522.74,523.26,523.78,524.29,524.81,525.33,525.85,526.37,526.89,527.41,527.93,528.45,528.96,529.48,530.0,530.52,531.04,531.56,532.08,532.6,533.11,534.67,537.26,537.78,541.41",3.7596E+125,0.836982476,0.954800956,1.308256393,0,1.10613E+11,10.85653114
test/Sample_10,Std_7,D-Glucose 6-Phosphate,259.022,10,527.16,497.16,557.16,s,1000,targets.csv,1.79E+05,15571,17,20641,530.0009766,5324,10690,10504.58824,615,"522.74,523.26,523.78,524.29,524.81,525.33,525.85,526.37,526.89,527.41,527.93,528.45,528.96,529.48,530.0,530.52,531.04",6.67979E+76,1.308256393,1.543893352,1.897348789,0,1.09563E+11,10.93778419
